SMILES,Density (g/cm^3),van der Waals volume (cm^3/g),FFV,SCScore
*O[Si](C)(S(=O)(C)Cl)*,1.088 ,0.502 ,0.289 ,1.389 
*CC(Cl)=C(O[Si](C)(C)C)*,1.065 ,0.514 ,0.289 ,1.398 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](c1ccccc1)(c1ccc(O)cc1Br)*,1.275 ,0.429 ,0.289 ,2.921 
*OS(=O)(=O)c1ccc(cc1)c1ccc(cc1)N(C)*,1.097 ,0.498 ,0.289 ,2.567 
*OS(=O)(=O)c1ccc(cc1)N(c1ccc(C)cc1)*,1.097 ,0.498 ,0.289 ,1.919 
*c1ccc(cc1)N(c1ccc(S(=O)(=O)Oc2ccccc2)cc1)*,1.112 ,0.492 ,0.289 ,2.364 
*OS(=O)(=O)c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)*,1.112 ,0.492 ,0.289 ,1.913 
*/C=C/c1cc(OCC(CC)CCCCCC)c(cc1Br)*,1.009 ,0.542 ,0.289 ,3.411 
*/C=C/c1cc(OCC(CC)CCCC)c(cc1OC)c1ccc(cc1)*,0.916 ,0.598 ,0.289 ,3.398 
*Sc1ccc(cc1)N(c1ccc(S(=O)(=O)c2ccc(C#N)cc2)cc1)*,1.083 ,0.505 ,0.289 ,2.908 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1c(C)cc(cc1Br)*,1.279 ,0.428 ,0.288 ,2.060 
*O[Si](C)(C)c1cc(C)c(cc1Br)O[Si](C)(C)*,1.284 ,0.426 ,0.288 ,2.483 
*c1ccc(cc1)Sc1ccc(cc1)S(=O)(=O)c1ccc(cc1)N(C)*,1.083 ,0.506 ,0.288 ,2.805 
*CP(=O)(C)c1ccc(c(S(=O)(=O)N(CSC)c2ccccc2)c1)*,1.093 ,0.501 ,0.288 ,3.304 
*O[Si](C)(C)O[Si](C)(C)S([2H])(Cl)*,1.083 ,0.505 ,0.288 ,2.255 
*c1ccc(cc1)N(Cc1ccccc1)c1ccc(cc1)S(=O)(=O)*,1.074 ,0.510 ,0.288 ,2.031 
*Oc1c(C)cc(cc1Br)c1cc(OCC(CC)CCCC)c(cc1F)*,1.105 ,0.496 ,0.288 ,3.612 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1c(C)cc(cc1Br)[Si](C)(C)*,1.280 ,0.428 ,0.288 ,2.554 
*c1ccc(cc1S(=O)(=O)Oc1ccccc1)N(C)*,1.108 ,0.494 ,0.288 ,2.773 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)S(=O)(Cl)*,1.063 ,0.515 ,0.288 ,2.338 
*Cc1ccc(c(Br)c1)CN(C#CC)c1ccc(cc1)*,1.290 ,0.424 ,0.288 ,2.543 
*/C=C(\c1ccc(Br)c([Si](C)(C)Oc2ccc([Si](C)(C)C)cc2)c1)/*,1.260 ,0.434 ,0.288 ,3.030 
*O[Si](C)(c1ccc(/C=N/c2ccc(Br)cc2)cn1)*,1.271 ,0.431 ,0.288 ,2.293 
*c1ccc(cc1)S(=O)(=O)c1ccc(cc1)N(c1ccc(OC)cc1)*,1.094 ,0.501 ,0.288 ,2.748 
*Oc1ccc(cc1)S(=O)(C)c1ccc(cc1)Oc1ccc(cc1)N(C)c1ccc(cc1)*,1.084 ,0.505 ,0.288 ,3.092 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(Cc1cc(Br)cc(C)c1C)*,1.279 ,0.428 ,0.288 ,3.118 
*ON(Cc1ccc(Br)cc1)O[Si](C)(C)*,1.277 ,0.429 ,0.288 ,2.180 
*CN=C(Oc1ccc(S(=O)(=O)O)cc1)c1ccc(cc1)N(C)*,1.090 ,0.502 ,0.288 ,2.931 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1c(C)cc(cc1Br)*,1.279 ,0.428 ,0.288 ,2.071 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(O[Si](C)(C)C)O[Si](C)(C)Oc1c(Br)cc(cc1OC)*,1.279 ,0.428 ,0.288 ,2.679 
*O[Si](C)(C)CNC(=O)*,1.002 ,0.547 ,0.288 ,1.780 
*OP(=O)(Oc1ccc(C#N)cc1)c1ccc(cc1)S(=O)(=O)N(C)c1ccc(cc1)*,1.086 ,0.505 ,0.288 ,3.175 
*c1ccc(cc1)[Si](C)(O[Si](C)(C)c1ccc(Br)cc1)*,1.261 ,0.434 ,0.288 ,1.849 
*c1ccc(cc1)[Si](O[Si](C)(C)C)(c1ccc(Br)cc1)*,1.261 ,0.434 ,0.288 ,1.421 
*Oc1c(C)cc(cc1OCC(CC)CCCC)/C=C/c1cc(C)c(c(C)c1C)*,0.921 ,0.595 ,0.288 ,3.421 
*/C=C/[Si](C)(C)C(=O)OC=Cc1ccc(o1)*,1.004 ,0.546 ,0.288 ,2.339 
*O[Si](C)(C)CNC(=O)c1ccc(s1)*,1.003 ,0.546 ,0.288 ,2.309 
*O[Si](C)(C)O[Si](C)(C)c1cc(c(O)cc1Br)*,1.286 ,0.426 ,0.288 ,2.223 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)=C(Cl)*,1.057 ,0.518 ,0.288 ,2.418 
*O[Si](C)(C)O[Si](C)(C)c1cc(C#C)c(cc1Br)*,1.284 ,0.427 ,0.288 ,2.432 
*c1ccc(c(S(=O)(=O)Oc2ccccc2C)n1)c1ccc(cc1)N(C)*,1.099 ,0.499 ,0.288 ,3.342 
*OC(=C(C#N)C#C[Si](C)(C)C)*,0.868 ,0.631 ,0.287 ,1.869 
*O[Si](C)(CCl)CSSSSSCS*,1.064 ,0.515 ,0.287 ,2.489 
*/C=C(\c1ccc(COC(C)CC(C)CC)cc1Br)/*,1.103 ,0.497 ,0.287 ,3.327 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)S([2H])(Cl)*,1.068 ,0.513 ,0.287 ,2.451 
*O[Si](C)(C)O[Si](C)(C)[Si](C)(C)O[Si](C)(C)Oc1c(C)c(C)cc(c1Br)N(C)*,1.289 ,0.425 ,0.287 ,3.426 
*O[Si](C)(C)O[Si](C)(C)Oc1cc(c(O)cc1Br)*,1.286 ,0.426 ,0.287 ,2.172 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1ccc(cc1)Cc1ccc(c(Br)c1)*,1.276 ,0.430 ,0.287 ,2.825 
*c1ccc(c(Br)c1)[Si](C)(O[Si](C)(C)S(=O)(=O)O)*,1.266 ,0.433 ,0.287 ,2.187 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(CCl)O*,1.058 ,0.518 ,0.287 ,1.849 
*/C(/C)=C(\O[Si](C)(C)OC)/*,0.907 ,0.604 ,0.287 ,2.076 
*CSc1ccc(cc1)c1ccc(cc1)CN(C#N)*,1.059 ,0.518 ,0.287 ,2.522 
*O[Si](C)(C)O[Si](C)(C)c1ccc(c(Br)c1)[Si](C)(C)c1ccc(cc1)*,1.275 ,0.430 ,0.287 ,2.509 
*O[Si](C)(C)O[Si](C)(C)c1cc(Br)cc(c1C)*,1.280 ,0.428 ,0.287 ,1.894 
*OC(=O)SSSC[Si](C)(C)*,1.039 ,0.528 ,0.287 ,2.317 
*N=P(Cl)(OC[Si](C)(C)OC[Si](C)(C)C)*,1.058 ,0.518 ,0.287 ,2.078 
*N=P(Cl)(O[Si](C)(C)O[Si](C)(C)C#N)*,1.077 ,0.509 ,0.287 ,2.071 
*/C=C/c1ccc(cc1OC)c1cc(OCC(CC)CCCC)c(cc1OC)*,0.923 ,0.594 ,0.287 ,3.668 
*O[Si](C)(C)O[Si](C)(C)Oc1cc(OC(=O)c2cccnc2)c(cc1Br)*,1.286 ,0.426 ,0.287 ,2.743 
*O[Si](C)(C)O[Si](C)(c1cccc(Br)c1)*,1.275 ,0.430 ,0.287 ,2.061 
*Sc1ccc(cc1)C#Cc1ccc(cc1)CN(c1ccccc1)*,1.056 ,0.519 ,0.287 ,2.737 
*O[Si](C)(C)O[Si](C)(C)Oc1c(C)cc(cc1Br)*,1.281 ,0.428 ,0.287 ,2.102 
*O[Si](C)(C)O[Si](C)(C)Oc1cc(Br)cc(c1C)*,1.281 ,0.428 ,0.287 ,2.350 
*Nc1cc(OCC(CC)CCCC)c(cc1Br)*,1.101 ,0.498 ,0.287 ,2.744 
*Cc1ccc(cc1)CN(C)c1ccc(cc1)S*,1.059 ,0.518 ,0.287 ,2.692 
*Sc1ccc(cc1)Cc1ccc(cc1)CN(C)*,1.059 ,0.518 ,0.287 ,2.641 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(c1ccc([Si](C)(C)c2ccc(Br)cc2)cc1)*,1.276 ,0.430 ,0.287 ,3.091 
*O[Si](C)(C)O[Si](C)(C)Oc1ccc(cc1Br)[Si](C)(C)c1ccc(cc1)*,1.276 ,0.430 ,0.287 ,2.453 
*/C=C/c1cc(Br)c(c(OC)c1OCC(CC)CC)*,1.117 ,0.491 ,0.287 ,2.853 
*O[Si](C)(C)c1ccc(cc1)[Si](C)(C)c1ccc(cc1Br)C(=O)*,1.264 ,0.434 ,0.287 ,2.147 
*O/C(/C)=C(\O[Si](C)(C)C)/*,0.911 ,0.602 ,0.286 ,1.459 
*OC(C)=C(O[Si](C)(C)C)*,0.911 ,0.602 ,0.286 ,1.668 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)[SH](Cl)(Cl)*,1.144 ,0.480 ,0.286 ,2.579 
*O[Si](C)(c1ccc(N(C)C)c(Br)c1)*,1.274 ,0.431 ,0.286 ,2.427 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1ccc(cc1)Nc1ccc(cc1Br)[Si](C)(C)*,1.277 ,0.430 ,0.286 ,3.190 
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)CN(c1ccccc1)*,1.090 ,0.503 ,0.286 ,3.791 
*N=P(O[Si](C)(C)C[SH](C)(C)C)(SC)*,1.001 ,0.548 ,0.286 ,2.125 
*c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)c1csc(c1)S(=O)(=O)*,1.102 ,0.498 ,0.286 ,3.627 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1c(Br)cc(cc1c1ccccc1)*,1.281 ,0.429 ,0.286 ,2.612 
*c1ccc(cc1)O[Si](C)(C)[Si](C)(C)c1ccc(cc1)[Si](C)(C)c1ccc(cc1)Nc1ccc(c(Br)c1)S(=O)(=O)*,1.263 ,0.435 ,0.286 ,3.088 
*c1ccc(cc1)Sc1ccc(cc1)Sc1ccc(cc1)N(c1ccc(C)cc1)*,1.079 ,0.509 ,0.286 ,2.059 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(c1ccc(/N=N/c2ccc(Br)cc2)cc1)*,1.276 ,0.430 ,0.286 ,2.710 
*c1ccc(cc1)S(=O)(=O)c1ccc(cc1)N(c1ccc(C)cc1)*,1.085 ,0.506 ,0.286 ,2.342 
*O[Si](C)(C)O[Si](C)(C)c1ccc(c(C)c1Br)*,1.282 ,0.428 ,0.286 ,2.141 
*O[Si](C)(C)[Si](c1ccccc1)(c1ccc(C)cc1)(c1ccc(Br)cc1)*,1.263 ,0.435 ,0.286 ,2.330 
*OC(=O)SN(C)[Si](C)(C)*,1.024 ,0.536 ,0.286 ,1.617 
*c1ccc(cc1)Sc1ccc(cc1)Oc1ccc(cc1)N(c1ccc(C#N)cc1)*,1.088 ,0.505 ,0.286 ,2.448 
*O[Si](C)(C)O[Si](C)(Oc1ccc(S(=O)(O)Br)cc1)Oc1ccc(cc1)Oc1ccc(cc1)*,1.282 ,0.429 ,0.286 ,2.737 
*O[Si](C)(C)O[Si](C)(C)Oc1cc(c(OC)cc1Br)/N=N/c1ccc(cc1)*,1.287 ,0.427 ,0.286 ,2.772 
*/C=C/c1cc(OCC(CC)CCCC)c(cc1O)*,0.911 ,0.603 ,0.286 ,3.277 
*O[Si](C)(C)O[Si](C)(C)O[Si](=O)(C)c1c(Br)ccc(c1O)*,1.283 ,0.428 ,0.286 ,1.960 
*Nc1ccc(c(Br)c1)O[Si](C)(C)O[Si](C)(C)O*,1.277 ,0.430 ,0.286 ,2.307 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1cc(Br)c(cc1S(=O)(=O)O)C(=O)*,1.285 ,0.428 ,0.286 ,2.460 
*O[Si](C)(C)c1ccc(cc1Br)[Si](c1ccccc1)(c1ccccc1)Nc1ccc(cc1)*,1.269 ,0.433 ,0.286 ,3.101 
*c1ccc(s1)Sc1ccc(s1)Sc1ccc(s1)Sc1ccc(s1)c1ccc(s1)[Si](C)(C)*,1.040 ,0.528 ,0.285 ,2.637 
*/C(/C#N)=C(\O[Si](C)(C)O[Si](C)(C)C)/*,0.908 ,0.605 ,0.285 ,2.090 
*C(=O)c1c(C)nc(c(O[Si](C)(C)C)c1Cl)*,1.077 ,0.511 ,0.285 ,2.103 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1cc(C)c(C)c(c1Br)*,1.291 ,0.426 ,0.285 ,2.421 
*c1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cc1ccc(cc1)N(C#N)*,1.073 ,0.512 ,0.285 ,3.368 
*NS(=O)(=O)c1cc(Br)cc(c1)[Si](C)(C)Oc1ccc(cc1)*,1.288 ,0.427 ,0.285 ,2.540 
*c1ccc(cc1)SCc1ccc(cc1)N(c1ccccc1)*,1.073 ,0.513 ,0.285 ,2.147 
*Sc1ccc(cc1)Cc1ccc(cc1)N(c1ccccc1)*,1.073 ,0.513 ,0.285 ,2.835 
*c1ccc(s1)[Si](C)(C)c1ccc(nc1)S(C)(C)*,1.043 ,0.527 ,0.285 ,2.285 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1cc(C)c(C)c(c1Br)*,1.291 ,0.426 ,0.285 ,2.421 
*O[Si](C)(C)O[Si](C)(C)O[Si](c1ccc(S(=O)(=O)c2ccc(Br)cc2)cc1)[Si](C)(C)O[Si](C)(C)C(=O)*,1.281 ,0.430 ,0.285 ,3.000 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)NC(C)=C(N)*,0.920 ,0.598 ,0.285 ,2.530 
*C([2H])=C(COCC)O[Si](O)(Cl)*,1.036 ,0.531 ,0.285 ,2.289 
*Sc1ccc(cc1)Cc1ccc(cc1)N(c1ccc(OC)cc1)*,1.080 ,0.510 ,0.285 ,2.739 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C[SH]([2H])(Cl)*,1.064 ,0.517 ,0.285 ,2.741 
*O[Si](C)(C)c1cccc(n1)[Si](c1ccccc1)(c1ccc(Br)cc1)c1ccc(cc1)*,1.267 ,0.434 ,0.285 ,2.201 
*c1ccc(cc1)c1ccc(cc1)S(=O)(=O)N(c1ccccc1)*,1.103 ,0.499 ,0.285 ,2.205 
*c1ccc(cc1)N(c1ccc(S(=O)(=O)c2ccccc2)cc1)*,1.103 ,0.499 ,0.285 ,2.555 
*c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)S(=O)(=O)*,1.103 ,0.499 ,0.285 ,2.128 
*c1ccc(cc1)S(=O)(=O)c1ccc(cc1)N(c1ccccc1)*,1.103 ,0.499 ,0.285 ,2.555 
*O[Si](C)(O)[Si](C)(C)S*,1.004 ,0.548 ,0.285 ,1.522 
*O[Si](C)(C)c1ccc(cc1)[Si](c1ccccc1)(c1ccc(Br)cc1)*,1.267 ,0.434 ,0.285 ,1.731 
*Nc1ccc(cc1)CN(C)c1ccc(cc1)NC(=S)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)S(=O)(=O)*,1.089 ,0.505 ,0.284 ,4.441 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(CCl)COC(=O)*,1.070 ,0.514 ,0.284 ,2.358 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1c(C)cc(cc1Br)C(=O)*,1.285 ,0.428 ,0.284 ,2.344 
*/C=C/c1cc(OCC(CC)CCCC)c(cc1OCCN(CCCC)CCCCCC)*,0.951 ,0.579 ,0.284 ,4.565 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1ccc(c(F)c1Br)*,1.286 ,0.428 ,0.284 ,2.272 
*O[Si](C)(C)O[Si](C)(Oc1ccccc1Br)*,1.280 ,0.430 ,0.284 ,1.765 
*C=C(Cl)O[Si](C)(C)O*,1.069 ,0.515 ,0.284 ,1.692 
*O[Si](C)(C)O[Si](C)(C)S(=O)(Cl)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C[Si](Cl)([Si](C)(C)C)*,1.137 ,0.484 ,0.284 ,2.989 
*/C=C(\[Si](C)(CCl)OC)/*,1.050 ,0.524 ,0.284 ,1.636 
*/C(/[2H])=C(/c1ccc(Br)c([2H])c1)\*,1.308 ,0.421 ,0.284 ,2.487 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1cc(Br)cc(c1F)*,1.286 ,0.428 ,0.284 ,2.280 
*/C=C/c1cc(OCC(CC)CCCC)c(cc1OCc1cc(OC)c(C)cc1OC)*,0.937 ,0.588 ,0.284 ,3.563 
*OP(=O)(Oc1ccc(C#N)cc1)Oc1ccc(cc1)N(c1ccccc1)c1ccc(cc1)S(=O)(=O)*,1.093 ,0.504 ,0.284 ,3.208 
*c1ccc(cc1)Cc1ccc(cc1)c1ccc(cc1)N(c1ccc(S(=O)(=O)O)cc1)*,1.082 ,0.509 ,0.284 ,3.039 
*[Si](C)(CN(C)S(=O)(=O)O)*,0.997 ,0.552 ,0.284 ,2.019 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1cc(c(O)c(c2cc(Br)ccc2C)c1)*,1.284 ,0.429 ,0.284 ,2.998 
*Oc1c(cc(SO[Si](C)(C)C)cc1Br)*,1.300 ,0.424 ,0.284 ,1.926 
*Sc1ccc(cc1)c1ccc(cc1)/C=N/c1ccc(c(S(=O)(=O)N(C)C)c1)*,1.111 ,0.496 ,0.284 ,3.221 
*/C=C/c1cc(OCC(Br)CCC)c(cc1O)*,1.109 ,0.497 ,0.284 ,3.167 
*O[Si](C)(C)C[Si](C)(CCl)*,1.053 ,0.523 ,0.284 ,1.584 
*c1ccc(cc1)[Si](C)(C)[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Cc1ccc(c(OC)c1Br)*,1.283 ,0.429 ,0.284 ,2.954 
*OP(=O)(Oc1ccc(N(C)C)cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)*,1.089 ,0.506 ,0.284 ,3.097 
*Sc1ccc(cc1)N(c1ccccc1)c1ccc(cc1)Oc1ccc(cc1)Cc1ccc(cc1)*,1.085 ,0.508 ,0.284 ,3.276 
*O[Si](C)(C)O[Si](C)(C)c1ccc(c(Br)c1)*,1.275 ,0.432 ,0.284 ,1.986 
*O[Si](C)(C)O[Si](C)(C)c1ccc(cc1Br)*,1.275 ,0.432 ,0.284 ,1.827 
*N=P(Oc1ccc(Br)cc1)(O[Si](C)(C)C)*,1.289 ,0.427 ,0.284 ,1.776 
*N=P(Oc1ccc(Br)cc1)(O[Si](C)(C)C#C)*,1.289 ,0.427 ,0.284 ,1.965 
*O[Si](C)(CCl)O[Si](C)(C)O[Si](C)(C)[Si](C)(C)*,1.059 ,0.520 ,0.284 ,2.158 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1c(C)cc(Br)cc1C(=O)*,1.285 ,0.429 ,0.284 ,2.318 
*O[Si](C)(C)O[Si](C)(C)c1ccc(Br)c(c1)Oc1ccc(cc1)C(=O)*,1.281 ,0.430 ,0.284 ,2.579 
*CSc1ccc(cc1)Sc1ccc(cc1)N(c1ccc(S(=O)(=O)O)cc1)*,1.084 ,0.508 ,0.284 ,2.055 
*OP(=O)(OC)Oc1ccc(cc1)S(=O)(=O)c1cccc(c1)CN(C)*,1.093 ,0.504 ,0.284 ,3.909 
*c1ccc(cc1)Sc1ccc(cc1)c1ccc(cc1)c1ccc(cc1)N(C)*,1.082 ,0.510 ,0.284 ,2.608 
*c1ccc(cc1)Sc1ccc(cc1)N(c1ccc(C#N)cc1)c1ccc(cc1)*,1.082 ,0.510 ,0.284 ,2.490 
*c1ccc(cc1)Sc1ccc(cc1)S(=O)(=O)N(C)*,1.089 ,0.506 ,0.284 ,2.062 
*O[Si](C)(C)S[Si](O)(Cl)*,1.085 ,0.508 ,0.284 ,2.000 
*O[Si](C)(C)O[Si](CCl)(O[Si](C)(C)O[Si](C)(C)C)*,1.059 ,0.520 ,0.284 ,2.248 
*SSSSS[Si](C)(C)*,1.044 ,0.528 ,0.283 ,1.826 
*O[Si](C)(C)O[Si](C)(C)Oc1cc(ccc1Br)*,1.276 ,0.432 ,0.283 ,1.888 
*O[Si](C)(C)O[Si](C)(C)Oc1ccc(cc1Br)*,1.276 ,0.432 ,0.283 ,1.888 
*c1ccc(cc1)Oc1ccc(cc1)Sc1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)N(C)*,1.087 ,0.507 ,0.283 ,3.103 
*N=P(Oc1ccc(C)cc1)(O[Si](C)(C)O[Si](C)(C)Nc1ccccc1Br)*,1.285 ,0.429 ,0.283 ,2.492 
*O[Si](C)(C)Sc1ccc(s1)c1ccc(cc1)/C=C/c1ccc(cc1Br)*,1.286 ,0.429 ,0.283 ,3.640 
*c1ccc(cc1)Sc1ccc(cc1)N(c1ccc(OC)cc1)*,1.093 ,0.505 ,0.283 ,2.028 
*O[Si](C)(C(=O)Oc1ccccc1)*,1.046 ,0.527 ,0.283 ,1.676 
*O[Si](C)(OC(=O)c1ccccc1)*,1.046 ,0.527 ,0.283 ,1.884 
*O[Si](C)(C)O[Si](C)(C)Oc1ccc(C)c(c1)Nc1cc(Br)c(cc1OC)C(=O)*,1.291 ,0.427 ,0.283 ,2.660 
*/C=C/c1cc(OC)c(cc1OCC(CC)CCCC)/C=C/c1ccc(cc1)*,0.917 ,0.601 ,0.283 ,3.468 
*/C=C/c1cc(OCC(CC)CCCC)c(cc1OC)/C=C/c1ccc(cc1)*,0.917 ,0.601 ,0.283 ,3.468 
*O[Si](C)(c1ccc([Si](C)(C)c2ccc(/N=N/c3ccc(Br)cc3)cc2)cc1)*,1.264 ,0.436 ,0.283 ,2.252 
*O[Si](C)(C)O[Si](C)(C)Oc1c(F)cc(cc1Br)*,1.288 ,0.428 ,0.283 ,2.111 
*/C=C(\Cl)/C(Cl)=C(O[Si](C)(C)O[Si](C)(C)C)*,1.137 ,0.485 ,0.283 ,2.257 
*N=P(Cl)(O[Si](C)(C)CN)*,1.080 ,0.511 ,0.283 ,1.817 
*/C(/[Si](C)(C)C)=C(\[Si](C)(C)CC[Si](C)(C)OC)/*,0.866 ,0.637 ,0.283 ,1.832 
*N=P(Oc1ccc(Br)cc1)(O[Si](C)(C)OC)*,1.291 ,0.427 ,0.283 ,2.151 
*O[Si](C)(Cc1ccccc1Br)*,1.278 ,0.432 ,0.283 ,1.562 
*/C(/[2H])=C(\c1ccc(Br)cc1)/*,1.307 ,0.422 ,0.283 ,1.993 
*/C(/[2H])=C(/c1ccc(Br)cc1)\*,1.307 ,0.422 ,0.283 ,1.676 
*C([2H])=C(c1ccc(Br)cc1)*,1.307 ,0.422 ,0.283 ,1.665 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(c1cc(O)cc(C)c1/N=N/c1ccc(Br)cc1)*,1.284 ,0.430 ,0.283 ,3.127 
*Nc1cc(C[Si](C)(C)O[Si](C)(C)c2ccc(C#N)c(Br)c2)cc(c1)C(=O)*,1.269 ,0.435 ,0.283 ,3.395 
*NC(Oc1ccc(I)c(Br)c1)=C([2H])*,1.313 ,0.420 ,0.283 ,2.274 
*c1ccc(cc1)CS(=O)(=O)c1ccc(nc1)N(c1ccc(C#N)cc1)*,1.081 ,0.510 ,0.283 ,3.296 
*Sc1ccc(cc1)Cc1ccc(cc1)N(c1ccccc1)c1ccc(cc1)Oc1ccc(nc1)*,1.090 ,0.506 ,0.283 ,3.761 
*OS(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)N(OC)*,1.104 ,0.500 ,0.283 ,2.154 
*c1ccc(cc1)Cc1ccc(cc1)N(c1ccc(S(=O)(=O)c2ccccc2)cc1)*,1.084 ,0.509 ,0.283 ,3.506 
*O[Si](C)(C)c1cc(C)c(cc1Br)*,1.288 ,0.429 ,0.283 ,1.670 
*/C(/C)=C(\O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C)/*,0.911 ,0.606 ,0.283 ,2.247 
*Sc1ccc(cc1)SCc1ccc(cc1)N(c1ccccc1)c1ccc(cc1)c1ccc(cc1)*,1.078 ,0.512 ,0.283 ,3.324 
*C#C/C(/C)=C(\O[Si](C)(C)S[Si](=O)(=O)I)/*,0.949 ,0.581 ,0.283 ,2.150 
*[Si](C)(C)[Si](C)(c1ccc(Br)cc1)*,1.278 ,0.432 ,0.282 ,1.517 
*c1ccc(cc1Br)Cc1ccc(cc1)N(C)*,1.306 ,0.423 ,0.282 ,2.604 
*O[Si](C)(COc1ccc(Br)cc1)*,1.281 ,0.431 ,0.282 ,1.958 
*SCc1cccc(c1)CN(c1ccc(/N=N/c2ccccc2)cc1)*,1.078 ,0.512 ,0.282 ,2.642 
*/C=C/c1cc(OCC(CC)CCCC)c(cc1OC)Cc1cc(C)c(c2ccccc12)*,0.932 ,0.592 ,0.282 ,3.991 
*OP(=O)(Oc1ccc(F)cc1Br)Oc1ccc(cc1)[Si](C)(C)O[Si](C)(C)c1ccc(cc1)*,1.284 ,0.430 ,0.282 ,2.759 
*O[Si](C)(C)O[Si](C)(C)c1cc(C)c(c(Br)c1F)*,1.295 ,0.426 ,0.282 ,2.103 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(Br)c1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)*,1.280 ,0.431 ,0.282 ,3.114 
*C(C#N)=C(C#N)c1ccc(s1)/N=C/c1ccc(o1)[Si](C)(O[Si](C)(C)C)*,0.885 ,0.624 ,0.282 ,3.311 
*SSc1ccc(cc1)N(c1ccccc1)c1ccc(cc1)*,1.100 ,0.502 ,0.282 ,2.176 
*c1cc(C)cc(S(=O)(=O)N(C)C)c1*,1.117 ,0.495 ,0.282 ,2.043 
*C(=S)N(c1ccc(C)cc1Br)*,1.319 ,0.419 ,0.282 ,1.824 
*Oc1cccc(c1)Oc1ccc(cc1)S(=O)(=O)N(C)c1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)*,1.095 ,0.505 ,0.282 ,3.713 
*O[Si](C)(C#CC#N)C(C#N)=C(C#N)*,0.875 ,0.631 ,0.282 ,2.303 
*c1ccc(cc1)S(=O)(=O)c1ccc(cc1)N(C)*,1.091 ,0.506 ,0.282 ,2.420 
